Len,1-100,101-200,201-300,301-400,401-500,501-600,601-700,701-800,801-900,901-1000,1001-1100,1101-1200,1201-1300,1301-1400,1401-1500
3,28,84,84,100,100,100,100,100,100,100,100,100,100,100,100,
4,51,69,76,90,96,96,96,96,96,96,100,100,100,100,100,
5,57,84,76,92,96,96,96,96,96,96,100,100,100,100,100,
6,100,36,100,100,100,100,100,100,100,100,100,100,100,100,100,
7,89,88,94,100,100,100,100,100,100,100,100,100,100,100,100,
8,51,71,95,90,95,95,95,100,100,100,100,100,100,100,100,
9,22,100,87,91,100,100,100,100,100,100,100,100,100,100,100,
10,24,69,76,92,96,96,96,96,96,96,100,100,100,100,100,
11,63,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
12,22,81,100,100,100,100,100,100,100,100,100,100,100,100,100,
13,26,82,94,94,100,100,100,100,100,100,100,100,100,100,100,
14,78,77,94,100,100,100,100,100,100,100,100,100,100,100,100,
15,24,28,84,100,100,100,100,100,100,100,100,100,100,100,100,
16,51,71,95,90,95,95,95,100,100,100,100,100,100,100,100,
17,26,62,77,100,100,100,100,100,100,100,100,100,100,100,100,
18,28,83,87,91,100,100,100,100,100,100,100,100,100,100,100,
19,22,71,83,87,96,96,100,100,100,100,100,100,100,100,100,
20,26,69,76,92,96,96,96,96,96,96,100,100,100,100,100,
